8点40分	8點40分	8 dian3 40 fen1	8 diǎn 40 fēn	8:40 (time of day)	8 giờ 40 phút
2009年7月6日	2009年7月6日	2009 nian2 7 yue4 6 ri4	2009 nián 7 yuè 6 rì	6th July 2009	Ngày 6 tháng 7 năm 2009
星期四	星期四	xing1qi1si4	xīngqīsì	Thursday	Thứ năm
他今年24岁。	他今年24歲。	Ta1 jin1nian2 24 sui4．	Tā jīnnián 24 suì．	He is 24 this year.	Năm nay anh ấy 24 tuổi.
15块	15塊	15 kuai4	15 kuài	RMB15	15 tệ (15 đồng)
我的电话是5 8 5 9 0 0 0 0。	我的電話是5 8 5 9 0 0 0 0。	Wo3 de dian4hua4 shi4 58590000.	Wǒ de diànhuà shì 58590000.	My phone number is 58590000.	Số điện thoại của tôi là 58590000.
一个	一個	yi2 ge	yí ge	One item (m.w., general)	Một cái / chiếc (lượng từ chung)
3本	3本	3 ben3	3 běn	Three items (m.w., e.g. books)	3 quyển (sách, vở...)
这个	這個	zhe4ge	zhège	This	Cái này
那些	那些	na4xie1	nàxiē	Those	Những cái kia / Những người kia
几本	幾本	ji3 ben3	jǐ běn	Several/How many items (e.g. books)	Mấy quyển (sách...)
我不是学生。	我不是學生。	Wo3 bu2 shi4 xue2sheng．	Wǒ bú shì xuésheng．	I am not a student.	Tôi không phải là học sinh.
他没去医院。	他沒去醫院。	Ta1 mei2 qu4 yi1yuan4．	Tā méi qù yīyuàn．	He didn't go to hospital.	Anh ấy đã không đi bệnh viện.
她很高兴。	她很高興。	Ta1 hen3 gao1xing4．	Tā hěn gāoxìng．	She is very happy.	Cô ấy rất vui.
太好了！	太好了！	Tai4 hao3 le!	Tài hǎo le!	That's great!	Tốt quá rồi! / Tuyệt quá!
我们都看见那个人了。	我們都看見那個人了。	Wo3men dou1 kan4jian4 na4ge ren2 le．	Wǒmen dōu kànjiàn nàge rén le．	We all saw that man.	Chúng tôi đều đã nhìn thấy người đó rồi.
我和你	我和你	wo3 he2 ni3	wǒ hé nǐ	Me and you	Tôi và bạn
我住在北京。	我住在北京。	Wo3 zhu4 zai4 Bei3jing1．	Wǒ zhù zài Běijīng．	I live in Beijing.	Tôi sống ở Bắc Kinh.
我会做饭。	我會做飯。	Wo3 hui4 zuo4 fan4．	Wǒ huì zuò fàn．	I can cook.	Tôi biết nấu ăn.
你什么时候能来？	你什麼時候能來？	Ni3 shen2me shi2hou neng2 lai2?	Nǐ shénme shíhou néng lái?	What time can you come?	Khi nào bạn có thể đến?
我的电脑	我的電腦	wo3 de dian4nao3	wǒ de diànnǎo	My computer	Máy tính của tôi
她去医院了。	她去醫院了。	Ta1 qu4 yi1yuan4 le．	Tā qù yīyuàn le．	She went to hospital.	Cô ấy đi bệnh viện rồi.
他是医生吗？	他是醫生嗎？	Ta1 shi4 yi1sheng1 ma?	Tā shì yīshēng ma?	Is he a doctor?	Anh ấy có phải là bác sĩ không?
你在哪儿呢？	你在哪兒呢？	Ni3 zai4 na3r ne?	Nǐ zài nǎr ne?	Where are you?	Bạn đang ở đâu thế?
喂，你好。	喂，你好。	Wei2, ni3 hao3.	Wéi, nǐ hǎo.	Hello? (on the phone)	Alo, xin chào.
明天星期六。	明天星期六。	Ming2tian1 xing1qi1liu4．	Míngtiān xīngqīliù．	Tomorrow is Saturday.	Ngày mai là thứ bảy.
我认识他。	我認識他。	Wo3 ren4shi ta1．	Wǒ rènshi tā．	I know him.	Tôi quen biết anh ấy.
天气很好。	天氣很好。	Tian1qi4 hen3 hao3．	Tiānqì hěn hǎo．	The weather is good.	Thời tiết rất tốt.
她不在饭店。	她不在飯店。	Ta1 bu2 zai4 fan4dian4．	Tā bú zài fàndiàn．	She is not at the hotel/restaurant.	Cô ấy không có ở khách sạn/nhà hàng.
